thumb,image,big,description,,,,,,,,,,,,,,,,,,,
OCNER_SANFRAN_BAKER_01-t.jpg,OCNER_SANFRAN_BAKER_01-i.jpg,OCNER_SANFRAN_BAKER_01-b.jpg,"Noemy Avalos bakes marijuana infused chocolate chip cookies, shown here, and gets ready to package them for sale. Avalos, 33, has been a culinary technician at Green Cross, a medical cannabis dispensary, for more than five years. (Photo by Matias J. Ocner | News21)",,,,,,,,,,,,,,,,,,,
OCNER_SANFRAN_BAKER_02-t.jpg,OCNER_SANFRAN_BAKER_02-i.jpg,OCNER_SANFRAN_BAKER_02-b.jpg,Avalos baked marijuana infused chocolate chip cookies and uses a metal spatula to place them into a package. (Photo by Matias J. Ocner | News21),,,,,,,,,,,,,,,,,,,
OCNER_SANFRAN_BAKER_03-t.jpg,OCNER_SANFRAN_BAKER_03-i.jpg,OCNER_SANFRAN_BAKER_03-b.jpg,"Avalos bakes and cooks marijuana infused food for the Green Cross, a medical cannabis dispensary, in San Francisco. (Photo by Matias J. Ocner | News21)",,,,,,,,,,,,,,,,,,,
OCNER_SANFRAN_BAKER_04-t.jpg,OCNER_SANFRAN_BAKER_04-i.jpg,OCNER_SANFRAN_BAKER_04-b.jpg,"The Green Cross, a medical cannabis dispensary in San Francisco, bakes and produces edibles infused with marijuana. Their baked goods include cookies, brownies and rice krispies. (Photo by Matias J. Ocner | News21)",,,,,,,,,,,,,,,,laurie-zrenda4-t.jpg,laurie-zrenda4-t.jpg,laurie-zrenda4-t.jpg,laurie-zrenda4-t.jpg
OCNER_SANFRAN_BAKER_05-t.jpg,OCNER_SANFRAN_BAKER_05-i.jpg,OCNER_SANFRAN_BAKER_05-b.jpg,"Noemy Avalos is Green Cross's culinary technician. Avalos has been baking and cooking with marijuana for more than five years and prepares cookies, brownies and rice krispies among other edibles. (Photo by Matias J. Ocner | News21)",,,,,,,,,,,,,,,,,,,
