thumb,image,big,description
EDIBLES-NAT-SELECTIONS_02-t.jpg,EDIBLES-NAT-SELECTIONS_02-i.jpg,EDIBLES-NAT-SELECTIONS_02-b.jpg,"Blythe Huestis, manager of Natural Selections in Cave Creek, Arizona, holds a bag of marijuana-infused nut clusters. (Jessie Wardarski | News21)."
EDIBLES-NAT-SELECTIONS_03-t.jpg,EDIBLES-NAT-SELECTIONS_03-i.jpg,EDIBLES-NAT-SELECTIONS_03-b.jpg,"Huestis, manager of Natural Selections in Cave Creek, Arizona, holds a cookie infused with 100mg of THC. (Jesse Wardarski | News21)."
EDIBLES-NAT-SELECTIONS_04-t.jpg,EDIBLES-NAT-SELECTIONS_04-i.jpg,EDIBLES-NAT-SELECTIONS_04-b.jpg,"This bag of rainbow colored candy is infused with marijuana, each having approximately 50mg of THC.  (Jessie Wardarski| News21)."
EDIBLES-NAT-SELECTIONS_05-t.jpg,EDIBLES-NAT-SELECTIONS_05-i.jpg,EDIBLES-NAT-SELECTIONS_05-b.jpg,"Blythe Huestis, manager of Natural Selections in Cave Creek, Arizona, holds a pair of marijuana infused suckers. (Jessie Wardarski | News21)."
EDIBLES-NAT-SELECTIONS_06-t.jpg,EDIBLES-NAT-SELECTIONS_06-i.jpg,EDIBLES-NAT-SELECTIONS_06-b.jpg,Manager of Natural Selections Blyth Huestis looks through their range of flower products. The dispensary carries a multitude of cannabis products from flower or bud to cookies and infused tea.  (Jessie Wardarski | News21).
EDIBLES-NAT-SELECTIONS_07-t.jpg,EDIBLES-NAT-SELECTIONS_07-i.jpg,EDIBLES-NAT-SELECTIONS_07-b.jpg,"Natural Selections, a medical marijuana dispensary in Cave Creek, Arizona, carries a multitude of cannabis products from flower or bud to infused triscut crackers or brownies. (Jessie Wardarski |News21)."
